ID,MAIN_NAME,SUB_NAME,DETAIL_NAME,FULL_ADDR
366,서울특별시,서초구,서초4동,서울특별시 서초구 서초4동
367,서울특별시,서초구,잠원동,서울특별시 서초구 잠원동
368,서울특별시,서초구,반포본동,서울특별시 서초구 반포본동
369,서울특별시,서초구,반포1동,서울특별시 서초구 반포1동
370,서울특별시,서초구,반포2동,서울특별시 서초구 반포2동
371,서울특별시,서초구,반포3동,서울특별시 서초구 반포3동
372,서울특별시,서초구,반포4동,서울특별시 서초구 반포4동
373,서울특별시,서초구,방배본동,서울특별시 서초구 방배본동
374,서울특별시,서초구,방배1동,서울특별시 서초구 방배1동
375,서울특별시,서초구,방배2동,서울특별시 서초구 방배2동
376,서울특별시,서초구,방배3동,서울특별시 서초구 방배3동
377,서울특별시,서초구,방배4동,서울특별시 서초구 방배4동
378,서울특별시,서초구,양재1동,서울특별시 서초구 양재1동
379,서울특별시,서초구,양재2동,서울특별시 서초구 양재2동
380,서울특별시,서초구,내곡동,서울특별시 서초구 내곡동
381,서울특별시,강남구,,서울특별시 강남구 
382,서울특별시,강남구,신사동,서울특별시 강남구 신사동
383,서울특별시,강남구,논현1동,서울특별시 강남구 논현1동
384,서울특별시,강남구,논현2동,서울특별시 강남구 논현2동
385,서울특별시,강남구,삼성1동,서울특별시 강남구 삼성1동
386,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동
387,서울특별시,강남구,대치1동,서울특별시 강남구 대치1동
388,서울특별시,강남구,대치4동,서울특별시 강남구 대치4동
389,서울특별시,강남구,역삼1동,서울특별시 강남구 역삼1동
390,서울특별시,강남구,역삼2동,서울특별시 강남구 역삼2동
391,서울특별시,강남구,도곡1동,서울특별시 강남구 도곡1동
392,서울특별시,강남구,도곡2동,서울특별시 강남구 도곡2동
393,서울특별시,강남구,개포1동,서울특별시 강남구 개포1동
394,서울특별시,강남구,개포4동,서울특별시 강남구 개포4동
395,서울특별시,강남구,일원본동,서울특별시 강남구 일원본동
396,서울특별시,강남구,일원1동,서울특별시 강남구 일원1동
397,서울특별시,강남구,일원2동,서울특별시 강남구 일원2동
398,서울특별시,강남구,수서동,서울특별시 강남구 수서동
399,서울특별시,강남구,세곡동,서울특별시 강남구 세곡동
400,서울특별시,강남구,압구정동,서울특별시 강남구 압구정동
401,서울특별시,강남구,청담동,서울특별시 강남구 청담동
402,서울특별시,강남구,대치2동,서울특별시 강남구 대치2동
403,서울특별시,강남구,개포2동,서울특별시 강남구 개포2동
404,서울특별시,송파구,,서울특별시 송파구 
405,서울특별시,송파구,풍납1동,서울특별시 송파구 풍납1동
406,서울특별시,송파구,풍납2동,서울특별시 송파구 풍납2동
407,서울특별시,송파구,거여1동,서울특별시 송파구 거여1동
408,서울특별시,송파구,거여2동,서울특별시 송파구 거여2동
409,서울특별시,송파구,마천1동,서울특별시 송파구 마천1동
410,서울특별시,송파구,마천2동,서울특별시 송파구 마천2동
411,서울특별시,송파구,방이1동,서울특별시 송파구 방이1동
412,서울특별시,송파구,방이2동,서울특별시 송파구 방이2동
413,서울특별시,송파구,오륜동,서울특별시 송파구 오륜동
